method,x_m,y_m,movement_m,discretized_worst_radius_m,worst_diameter_m,min_angle_sine,certified_min_distance_m,certified_max_distance_m,within_20m
M2-RR,850.0,-525.0,999.0620601344043,55.40450930733903,110.80901861467807,0.5127692584244627,510.08549448541436,999.0620601344043,False
M2-ANGLE,750.0,625.0,976.2812094883318,58.28997961947519,116.57995923895038,0.6401843996644798,611.8155046447819,993.2465832544387,False
