method,x_m,y_m,forward_from_s1_m,lateral_from_s1_m,movement_m,discretized_worst_radius_m,worst_diameter_m,sampled_signal_margin_m,near_scenario_count,bearing_scenario_count,within_20m
M2-RR,800.0,-600.0,800.0,-600.0,1000.0,45.19742199974626,90.39484399949252,3.9423052309875857,0,21,False
M2-ANGLE,600.0,-800.0,600.0,-800.0,1000.0,50.28830751672211,100.57661503344421,2.921501626543659,0,21,False
