method,x_m,y_m,forward_from_s1_m,lateral_from_s1_m,movement_m,discretized_worst_radius_m,worst_diameter_m,sampled_signal_margin_m,near_scenario_count,bearing_scenario_count,within_20m
M2-RR,850.0,-525.0,850.0,-525.0,999.0620601344043,55.40450930733903,110.80901861467807,5.141759820249376,0,287,False
M2-ANGLE,600.0,-800.0,600.0,-800.0,1000.0,60.89243162636792,121.78486325273585,2.921501626543659,0,287,False
